epoch,loss,val_loss
0,0.13860154566557512,0.20780204424005472
1,0.1337818997061771,0.24086161105838044
2,0.13097213247547979,0.25313762323745831
3,0.12910860491835552,0.25570787854542004
4,0.12649311462174292,0.24032778199145335
5,0.12604642082815584,0.2289117370417576
6,0.12429655453433161,0.22882119906659157
7,0.12357344731040623,0.20687939947014614
8,0.12211516486561817,0.20322167202336899
9,0.12235612046459447,0.18999203802734022
10,0.12151800510676011,0.17913144333473105
11,0.12006556074256482,0.16815700021800617
12,0.11987085614515387,0.1578610347990958
13,0.11874128988255625,0.15386346022024849
14,0.11685524382021116,0.14597529982099469
15,0.11737168029598567,0.14238240515554187
16,0.11762519064156905,0.13460257254688945
17,0.11578656979229139,0.1302517391001152
18,0.11478160820577456,0.12756738323249564
19,0.11523165281700051,0.12506097022271315
20,0.11443852710983028,0.13026937477241288
21,0.1157490690117297,0.13065905119014892
22,0.11518412264792816,0.12653267028315968
23,0.11424626869999845,0.12007918174298393
24,0.11376575821119805,0.12049553345962866
25,0.11327460408210754,0.1160926650099407
26,0.11254811099042063,0.11313338558010708
27,0.11252264801574791,0.11399323014628808
28,0.11230992072302362,0.11651222797616428
29,0.11214826508708622,0.11247912029556881
30,0.11303704193104869,0.11343833912682059
31,0.11212950180406156,0.11352970258684347
32,0.1123732311570126,0.110860381448111
33,0.1116271378553432,0.11124991235748821
34,0.11140371211197066,0.11160751999608728
35,0.11104117534730745,0.11284918678517374
36,0.11192449324804804,0.11036750600235351
37,0.11155210247506266,0.11274987908191239
38,0.11072324436643849,0.11220703199999221
39,0.11072882601748342,0.11466663913024182
40,0.1107695829609166,0.11102081356656472
41,0.11072000148503677,0.10989735541951577
42,0.11130275778148485,0.11320532912647488
43,0.11053461413020672,0.11148272050137552
44,0.11138044498536898,0.11924224277797914
45,0.10997512010128602,0.11385601788561865
46,0.11074518826992616,0.11429790392616726
47,0.11090320245079373,0.1159970916264894
48,0.11038957536220551,0.11902264027011315
49,0.11070642257514207,0.11483628959055768
50,0.11223353037367696,0.12329441003057341
51,0.11276303983252982,0.11353419124093277
52,0.11025235536305801,0.11060329373703887
53,0.11048773715029592,0.11636584148501718
54,0.10975433866614881,0.11616305651648945
55,0.11055658841910569,0.11461604001703642
56,0.11028068182261094,0.11555109819434337
57,0.10992582019256508,0.11854757861980539
58,0.10953516953665277,0.11697743270570869
59,0.11037316341762958,0.11310858373215657
